Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate
2014-05-23,133,233,21.89,,,
2014-05-24,42,47,42.55,,,
2014-05-25,31,34,44.12,,,
2014-05-26,50,55,41.82,,,
2014-05-27,232,434,24.42,,,
2014-05-28,223,415,28.92,,,
2014-05-29,439,710,27.46,,,
2014-05-30,636,980,30.41,,,
2014-05-31,1986,2385,45.2,,,
2014-06-01,1525,1721,41.78,,,
2014-06-02,2266,2588,49.3,,,
2014-06-03,2365,2622,65.1,,,
2014-06-04,643,839,44.22,,,
2014-06-05,3228,3424,67.73,,,
2014-06-06,605,695,58.42,,,
2014-06-07,135,151,53.64,,,
2014-06-08,113,131,54.96,,,
2014-06-09,288,381,43.57,,,
2014-06-10,347,432,41.44,,,
2014-06-11,317,400,45.5,,,
2014-06-12,258,330,45.45,,,
2014-06-13,159,190,43.16,,,
2014-06-14,59,71,52.11,,,
2014-06-15,75,86,56.98,,,
2014-06-16,218,269,50.19,,,
2014-06-17,240,310,48.71,,,
2014-06-18,345,440,53.41,,,
2014-06-19,229,301,48.17,,,
2014-06-20,242,283,54.06,,,
2014-06-21,58,63,60.32,,,
2014-06-22,59,63,50.79,,,
2014-06-23,176,252,41.67,,,
2014-06-24,221,263,50.19,,,
2014-06-25,193,248,38.71,,,
2014-06-26,165,205,44.39,,,
2014-06-27,172,201,49.75,,,
2014-06-28,49,51,49.02,,,
2014-06-29,59,67,55.22,,,
2014-06-30,193,251,46.22,,,
2014-07-01,208,279,44.8,,,
2014-07-02,166,206,42.72,,,
2014-07-03,335,388,38.14,,,
2014-07-04,56,66,65.15,,,
2014-07-05,46,50,42.0,,,
2014-07-06,75,81,33.33,,,
2014-07-07,214,270,42.22,,,
2014-07-08,231,277,45.13,,,
2014-07-09,188,237,50.21,,,
2014-07-10,175,228,45.61,,,
2014-07-11,115,142,55.63,,,
2014-07-12,19,23,52.17,,,
2014-07-13,46,50,36.0,,,
2014-07-14,175,221,45.7,,,
2014-07-15,164,201,46.77,,,
2014-07-16,202,249,41.77,,,
2014-07-17,143,173,41.62,,,
2014-07-18,148,174,38.51,,,
2014-07-19,48,59,45.76,,,
2014-07-20,58,67,64.18,,,
2014-07-21,174,223,47.98,,,
2014-07-22,155,194,43.81,,,
2014-07-23,139,171,43.27,,,
2014-07-24,151,182,43.96,,,
2014-07-25,103,127,37.8,,,
2014-07-26,36,44,47.73,,,
2014-07-27,40,43,62.79,,,
2014-07-28,148,183,46.99,,,
2014-07-29,182,229,42.36,,,
2014-07-30,152,199,37.69,,,
2014-07-31,194,252,41.67,,,
2014-08-01,132,176,45.45,,,
2014-08-02,43,46,58.7,,,
2014-08-03,49,60,41.67,,,
2014-08-04,167,208,43.27,,,
2014-08-05,171,203,44.34,,,
2014-08-06,181,248,41.94,,,
2014-08-07,163,228,39.47,,,
2014-08-08,152,190,41.05,,,
2014-08-09,42,50,62.0,,,
2014-08-10,51,59,64.41,,,
2014-08-11,147,186,42.47,,,
2014-08-12,158,216,41.2,,,
2014-08-13,151,217,38.25,,,
2014-08-14,142,224,51.34,,,
2014-08-15,144,194,34.02,,,
2014-08-16,33,38,39.47,,,
2014-08-17,30,32,59.38,,,
2014-08-18,132,196,37.24,,,
2014-08-19,163,213,42.72,,,
2014-08-20,269,345,43.77,,,
2014-08-21,382,469,46.48,,,
2014-08-22,181,219,42.92,,,
2014-08-23,40,43,41.86,,,
2014-08-24,45,72,50.0,,,
2014-08-25,194,244,50.82,,,
2014-08-26,238,308,49.03,,,
2014-08-27,203,248,51.21,,,
2014-08-28,156,197,43.15,,,
2014-08-29,151,173,46.24,,,
2014-08-30,40,59,50.85,,,
2014-08-31,50,55,50.91,,,
2014-09-01,65,72,48.61,,,
2014-09-02,162,202,41.58,,,
2014-09-03,176,211,44.55,,,
2014-09-04,200,238,44.54,,,
2014-09-05,158,188,38.83,,,
2014-09-06,34,39,53.85,,,
2014-09-07,55,59,62.71,,,
2014-09-08,200,255,41.57,,,
2014-09-09,172,214,41.59,,,
2014-09-10,191,216,47.69,,,
2014-09-11,218,265,38.11,,,
2014-09-12,161,228,35.53,,,
2014-09-13,51,58,62.07,,,
